state,state_abbreviation,county,fips,Hillary Clinton,Donald Trump,population,education,income
Alabama,AL,Autauga,1001.0,2387,5387,55395,85.6,24571
Alabama,AL,Baldwin,1003.0,5290,23618,200111,89.1,26766
Alabama,AL,Barbour,1005.0,2567,1710,26887,73.7,16829
Alabama,AL,Bibb,1007.0,942,1959,22506,77.5,17427
Alabama,AL,Blount,1009.0,564,7390,57719,77.0,20730
Alabama,AL,Bullock,1011.0,2451,313,10764,67.8,18628
Alabama,AL,Butler,1013.0,2196,1720,20296,76.3,17403
Alabama,AL,Calhoun,1015.0,5011,8960,115916,78.6,20828
Alabama,AL,Chambers,1017.0,2899,2169,34076,75.1,19291
Alabama,AL,Cherokee,1019.0,712,2777,26037,78.3,22030
Alabama,AL,Chilton,1021.0,860,5273,43931,76.0,20701
Alabama,AL,Choctaw,1023.0,1772,1070,13323,75.2,20323
Alabama,AL,Clarke,1025.0,3148,2308,24945,78.3,18979
Alabama,AL,Clay,1027.0,807,1920,13552,76.5,18694
Alabama,AL,Cleburne,1029.0,221,2120,15080,76.0,19108
Alabama,AL,Coffee,1031.0,1493,4304,50909,82.4,23380
Alabama,AL,Colbert,1033.0,3879,3858,54543,83.5,21572
Alabama,AL,Conecuh,1035.0,2031,768,12670,77.3,15605
Alabama,AL,Coosa,1037.0,1012,1233,10886,75.0,18493
Alabama,AL,Covington,1039.0,737,4608,37914,78.4,20391
Alabama,AL,Crenshaw,1041.0,908,1496,13977,76.7,21343
Alabama,AL,Cullman,1043.0,1275,10618,81289,79.8,20760
Alabama,AL,Dale,1045.0,1544,4151,49484,84.1,22685
Alabama,AL,Dallas,1047.0,8577,523,41711,77.5,17245
Alabama,AL,DeKalb,1049.0,1297,6247,71065,70.6,18149
Alabama,AL,Elmore,1051.0,3019,8525,80977,86.6,23856
Alabama,AL,Escambia,1053.0,2027,2817,37733,76.2,16540
Alabama,AL,Etowah,1055.0,4262,8657,103531,81.8,20204
Alabama,AL,Fayette,1057.0,660,2479,16874,74.9,18494
Alabama,AL,Franklin,1059.0,1233,2155,31601,72.5,18888
Alabama,AL,Geneva,1061.0,544,3106,26712,77.2,20199
Alabama,AL,Greene,1063.0,2714,147,8553,76.2,14930
Alabama,AL,Hale,1065.0,2426,590,15184,77.4,18812
Alabama,AL,Henry,1067.0,1170,1778,17190,80.1,21924
Alabama,AL,Houston,1069.0,3044,8171,104193,83.9,23316
Alabama,AL,Jackson,1071.0,1327,5463,52665,74.6,20486
Alabama,AL,Jefferson,1073.0,67357,32853,660793,87.4,26906
Alabama,AL,Lamar,1075.0,442,1810,14086,76.1,19026
Alabama,AL,Lauderdale,1077.0,3676,7502,93096,83.8,23510
Alabama,AL,Lawrence,1079.0,2047,3604,33477,77.1,20181
Alabama,AL,Lee,1081.0,7137,6934,154255,86.7,23506
Alabama,AL,Limestone,1083.0,3199,8198,90787,81.5,25020
